-100,0
-99,0
-98,0
-97,0
-96,0
-95,0
-94,0
-93,0
-92,0
-91,0
-90,0
-89,0
-88,1
-87,1
-86,0
-85,3
-84,0
-83,5
-82,5
-81,5
-80,8
-79,4
-78,2
-77,2
-76,4
-75,5
-74,3
-73,6
-72,2
-71,6
-70,4
-69,5
-68,5
-67,4
-66,3
-65,1
-64,6
-63,6
-62,0
-61,1
-60,2
-59,7
-58,6
-57,8
-56,2
-55,5
-54,5
-53,6
-52,4
-51,8
-50,6
-49,7
-48,8
-47,3
-46,8
-45,5
-44,7
-43,2
-42,3
-41,2
-40,7
-39,3
-38,8
-37,4
-36,5
-35,5
-34,3
-33,14
-32,11
-31,12
-30,7
-29,22
-28,19
-27,23
-26,27
-25,14
-24,18
-23,17
-22,21
-21,23
-20,22
-19,16
-18,14
-17,11
-16,20
-15,15
-14,31
-13,23
-12,31
-11,38
-10,44
-9,37
-8,50
-7,74
-6,87
-5,114
-4,176
-3,296
-2,525
-1,1572
0,47370
1,1710
2,525
3,288
4,176
5,145
6,85
7,55
8,63
9,45
10,29
11,23
12,24
13,16
14,13
15,15
16,10
17,11
18,9
19,13
20,14
21,6
22,8
23,6
24,4
25,4
26,7
27,3
28,5
29,4
30,4
31,2
32,3
33,2
34,2
35,4
36,3
37,1
38,1
39,2
40,2
41,1
42,0
43,2
44,0
45,0
46,1
47,0
48,0
49,2
50,0
51,1
52,3
53,1
54,1
55,1
56,2
57,0
58,1
59,1
60,2
61,3
62,1
63,4
64,1
65,1
66,2
67,2
68,2
69,2
70,2
71,1
72,2
73,3
74,0
75,3
76,1
77,0
78,0
79,2
80,1
81,1
82,1
83,1
84,1
85,0
86,2
87,0
88,0
89,1
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,0
100,0
