-100,0
-99,0
-98,0
-97,0
-96,0
-95,0
-94,0
-93,0
-92,0
-91,0
-90,0
-89,0
-88,0
-87,2
-86,1
-85,2
-84,2
-83,3
-82,5
-81,5
-80,8
-79,4
-78,1
-77,3
-76,5
-75,4
-74,2
-73,7
-72,1
-71,7
-70,3
-69,6
-68,4
-67,5
-66,3
-65,1
-64,8
-63,4
-62,1
-61,0
-60,7
-59,2
-58,8
-57,6
-56,4
-55,3
-54,6
-53,5
-52,8
-51,4
-50,6
-49,7
-48,5
-47,6
-46,8
-45,5
-44,6
-43,3
-42,1
-41,4
-40,5
-39,5
-38,5
-37,7
-36,7
-35,3
-34,8
-33,9
-32,10
-31,13
-30,10
-29,19
-28,19
-27,23
-26,16
-25,25
-24,23
-23,12
-22,21
-21,23
-20,19
-19,19
-18,12
-17,13
-16,19
-15,16
-14,31
-13,23
-12,35
-11,34
-10,32
-9,49
-8,62
-7,62
-6,91
-5,110
-4,232
-3,240
-2,1017
-1,1080
0,24433
1,24647
2,416
3,397
4,166
5,155
6,70
7,70
8,53
9,55
10,23
11,29
12,17
13,23
14,16
15,12
16,9
17,12
18,14
19,8
20,11
21,9
22,7
23,7
24,4
25,4
26,7
27,3
28,4
29,5
30,1
31,5
32,3
33,2
34,3
35,3
36,1
37,3
38,1
39,2
40,2
41,1
42,1
43,1
44,0
45,0
46,1
47,0
48,2
49,0
50,0
51,1
52,2
53,2
54,0
55,2
56,0
57,2
58,2
59,0
60,0
61,5
62,1
63,4
64,1
65,1
66,1
67,3
68,1
69,3
70,0
71,3
72,2
73,3
74,0
75,3
76,0
77,1
78,1
79,1
80,0
81,2
82,0
83,2
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,0
100,0
